Id,Overall Qual,Gr Liv Area,Year Built,BsmtFin SF 1,Garage Area,Lot Area,SalePrice
109,6,1479,1976,533.0,475.0,13517,130500
544,7,2122,1996,637.0,559.0,11492,220000
153,5,1057,1953,731.0,246.0,7922,109000
318,5,1444,2006,0.0,400.0,9802,174000
255,6,1445,1900,0.0,484.0,14235,138500
138,6,1888,1966,247.0,578.0,16492,190000
2827,6,1072,2005,547.0,525.0,3675,140000
145,5,1188,1959,1000.0,531.0,12160,142000
1942,5,924,1952,292.0,420.0,15783,112500
1956,5,2080,1969,650.0,504.0,11606,135000
1044,6,987,1971,387.0,264.0,1680,85400
2752,7,1208,2005,393.0,632.0,7488,183600
807,5,2016,1880,0.0,576.0,26400,131000
1177,8,1607,1999,813.0,480.0,2645,200000
1480,7,1361,2007,24.0,610.0,9627,193000
324,5,1430,2004,0.0,624.0,10114,173500
1311,5,1344,1916,0.0,513.0,4571,98000
770,5,1121,1963,651.0,480.0,8816,139000
2063,6,1285,1977,0.0,528.0,8197,143500
69,7,1547,2009,24.0,614.0,8640,215200
2062,5,894,1968,492.0,450.0,8724,129000
351,8,1659,2000,1158.0,499.0,5664,278000
2393,8,2253,2005,0.0,575.0,12867,344133
12,6,1187,1992,935.0,420.0,7980,185000
2339,5,1056,1955,1056.0,572.0,34650,145000
624,6,1453,1961,1312.0,530.0,10573,187500
86,5,894,1965,553.0,336.0,8450,138500
1534,5,1938,1937,606.0,240.0,11700,198000
2243,5,1991,1895,0.0,0.0,8250,119600
1957,5,924,1949,0.0,576.0,8064,122900
380,8,2524,1981,1104.0,542.0,9600,278000
2860,8,1517,1929,0.0,400.0,11435,230000
2517,8,1494,1995,437.0,481.0,9549,270000
1933,6,948,1952,441.0,410.0,10950,125000
820,8,1718,2007,1288.0,826.0,10637,297000
675,6,1142,1958,0.0,384.0,9000,113500
2910,5,1475,1977,548.0,336.0,2665,127000
21,6,1844,1977,705.0,546.0,11751,190000
1873,7,1242,1973,916.0,528.0,9600,175500
2125,5,990,1994,420.0,384.0,8428,146000
1489,5,1256,1965,830.0,276.0,9937,147500
2383,10,2076,2006,1386.0,850.0,13891,465000
983,5,1110,1978,1097.0,602.0,9101,165500
1325,5,1795,1954,0.0,352.0,12150,131500
1378,5,1040,1965,906.0,384.0,11200,129500
1537,8,1873,1935,210.0,786.0,9670,257076
905,5,1604,1941,408.0,660.0,10998,117000
1532,7,1502,1931,0.0,270.0,7200,149000
132,5,1063,1954,354.0,280.0,9920,128000
1078,7,1626,2003,0.0,474.0,2448,155000
2511,6,1524,2000,353.0,440.0,2998,166000
912,4,1981,1928,622.0,576.0,7804,135000
2351,7,2784,1978,790.0,564.0,16692,250000
330,4,1092,1970,176.0,0.0,1476,76000
2586,6,1575,1951,0.0,400.0,10170,155000
224,6,1352,1969,371.0,299.0,9364,158000
98,7,1200,2004,368.0,480.0,2544,149500
2565,5,936,1954,486.0,240.0,9888,121000
1934,6,1040,1953,85.0,293.0,7942,136000
997,6,1636,1996,138.0,386.0,15038,173000
64,8,2270,1999,524.0,671.0,11764,290000
1799,8,2610,2007,64.0,550.0,9000,303477
230,7,1483,1977,1092.0,690.0,20062,270000
1295,5,1740,1920,360.0,225.0,7308,122250
638,5,1382,1955,172.0,350.0,8750,153000
2278,5,1120,2007,206.0,0.0,8402,147000
2202,7,1098,1930,246.0,216.0,4000,148500
2833,7,1708,2004,0.0,380.0,3363,130000
1707,9,1802,2006,0.0,843.0,13615,372000
2428,7,1506,2005,16.0,440.0,3013,213490
242,7,1508,2009,1346.0,572.0,17485,308030
1564,7,2032,1996,700.0,786.0,23730,300000
2613,6,1194,1959,655.0,539.0,8910,159500
2832,7,1709,2004,0.0,380.0,2522,137500
2459,7,1616,2005,0.0,834.0,8688,232000
1360,6,768,1930,0.0,440.0,6291,93850
2723,5,872,1924,0.0,322.0,17529,105000
1350,4,520,1927,0.0,240.0,6324,68500
136,5,2274,1960,443.0,480.0,11600,154300
2235,5,1601,1925,0.0,0.0,7288,129850
1993,5,1232,1910,168.0,480.0,4571,114000
367,9,2234,2008,1904.0,1166.0,17423,501837
1309,5,1416,1915,0.0,720.0,12665,153900
402,4,864,1971,240.0,576.0,9000,130000
1592,6,1189,1997,864.0,392.0,4500,160500
2409,9,1666,2006,415.0,575.0,6373,310090
539,7,1200,2003,833.0,555.0,10083,184900
1940,5,928,1956,377.0,252.0,13300,132000
588,5,1336,1969,553.0,502.0,9600,163000
96,7,1200,2004,280.0,480.0,3215,155000
1187,6,1427,1969,828.0,516.0,11104,183000
2154,7,1992,1996,762.0,608.0,15295,211000
550,7,1540,1994,36.0,495.0,9109,184000
811,5,1535,1979,0.0,400.0,7018,118858
124,5,1152,1964,1014.0,484.0,14112,180500
1836,8,1151,2006,60.0,484.0,3523,166000
779,6,1138,1960,588.0,480.0,15312,148000
1886,5,1074,1956,438.0,396.0,7450,124000
1724,9,1561,2005,1153.0,556.0,7313,277500
2450,8,2726,1995,527.0,725.0,10019,350000
1013,9,1884,2004,1337.0,670.0,15401,387000
2084,4,605,1920,348.0,0.0,9098,86000
1184,8,1671,1976,1044.0,550.0,16280,290000
728,3,797,1900,0.0,0.0,9392,44000
950,6,1961,2001,690.0,560.0,12209,215000
2524,5,1193,1972,962.0,501.0,13110,146500
2513,7,1382,2000,641.0,490.0,2651,165000
2028,6,2526,1916,168.0,216.0,8520,136000
2309,6,1390,1957,1110.0,550.0,39384,252000
51,7,1626,2003,0.0,474.0,2628,175500
699,5,1558,1939,421.0,400.0,6406,150000
1881,5,1422,1960,0.0,286.0,12342,139900
1345,5,1573,1930,0.0,360.0,6240,162900
166,6,1116,1962,0.0,440.0,10000,160000
781,2,660,1947,0.0,0.0,9000,63900
379,6,1707,1978,832.0,479.0,11088,184000
2818,5,1466,1959,176.0,528.0,17755,149900
1168,9,1638,2000,1027.0,495.0,4765,300000
1396,5,1721,1960,988.0,626.0,10532,145000
838,6,1764,1997,821.0,470.0,15426,231500
1492,5,996,1940,290.0,0.0,13907,108000
637,5,1202,1956,435.0,304.0,8750,120000
1826,5,988,1961,827.0,572.0,9945,128500
173,5,1028,1927,0.0,360.0,8960,115000
715,5,1284,1947,312.0,240.0,3500,110000
1183,9,2944,1977,410.0,864.0,24572,150000
2433,8,1414,2004,0.0,403.0,9056,178000
2866,7,1609,1932,0.0,579.0,12320,199500
2311,6,1525,1997,700.0,400.0,8238,183500
1551,5,1656,1967,257.0,288.0,6000,126000
1049,7,1055,1977,378.0,440.0,2529,148500
657,5,1352,1939,0.0,720.0,10800,149000
414,6,1456,1977,389.0,440.0,2349,137900
1181,8,1719,1993,1619.0,473.0,10846,324000
1514,5,864,1925,468.0,0.0,5604,98000
1040,6,987,1973,458.0,264.0,1680,103400
216,5,1020,1875,0.0,0.0,6342,94000
1720,8,1554,2006,24.0,627.0,4590,209500
2331,10,3390,2006,0.0,758.0,18062,545224
204,6,1560,1912,0.0,0.0,12900,159900
19,4,864,1951,120.0,400.0,19138,141000
2438,6,1889,2000,732.0,431.0,8658,215000
89,5,1040,1962,659.0,260.0,6897,127000
240,5,1172,1954,954.0,366.0,9525,128000
105,8,1418,2010,1032.0,852.0,12853,267916
2020,6,1367,1931,425.0,560.0,6240,127500
888,7,1922,2003,0.0,672.0,7301,198500
1019,6,1422,1981,588.0,576.0,12090,175500
2132,7,1842,2000,841.0,486.0,8826,217500
203,4,1962,1915,0.0,572.0,8094,149500
420,5,1120,1966,644.0,656.0,10710,148800
2333,9,2868,2005,240.0,716.0,16056,556581
632,6,1478,1957,189.0,442.0,8400,156500
2800,7,1995,1995,685.0,610.0,11250,237000
1885,5,912,1958,111.0,297.0,7535,120000
1734,6,1326,2005,918.0,388.0,12216,203000
2327,8,1204,1987,0.0,461.0,3701,130000
1282,6,1611,1964,674.0,442.0,9760,167900
2688,4,960,1970,789.0,576.0,9873,129000
2581,5,1236,1957,360.0,447.0,10011,134450
2067,5,1416,1918,0.0,576.0,25339,112000
2115,7,1873,1988,608.0,619.0,8883,207000
754,5,2128,1922,0.0,0.0,3000,62500
1079,7,1626,2003,573.0,474.0,2448,154000
2615,5,816,1957,708.0,308.0,7100,129900
329,5,1112,1976,129.0,336.0,2592,85000
1320,7,1111,1926,0.0,288.0,5700,116900
416,6,1441,1978,311.0,440.0,2289,148500
284,4,924,1941,348.0,280.0,12180,80000
1385,5,1126,1984,104.0,506.0,7400,152000
275,5,992,1954,0.0,319.0,8842,155891
2024,6,1376,1920,0.0,576.0,8850,165000
68,7,1218,2009,0.0,676.0,9215,204500
1910,5,1644,1942,386.0,312.0,9480,146500
381,7,1601,1978,704.0,478.0,11880,157000
1323,7,2495,1890,0.0,342.0,10800,184000
2432,6,1509,2002,457.0,393.0,7861,183200
777,5,1092,1962,170.0,288.0,11616,139000
1107,7,2418,1993,1173.0,983.0,10542,341000
30,6,987,1971,156.0,264.0,1680,96000
282,4,1121,2003,0.0,440.0,8546,140000
188,6,1236,1957,600.0,923.0,7407,149700
2356,5,1074,1975,788.0,495.0,10140,153500
1554,1,733,1952,0.0,487.0,14584,13100
1464,7,1768,2003,550.0,543.0,8158,224900
2469,7,1266,2005,0.0,453.0,7500,176000
1834,8,2872,1992,700.0,541.0,10678,285000
1779,8,1464,2007,929.0,754.0,15256,282922
2569,7,2157,1966,445.0,487.0,14200,226000
2334,8,2576,2006,0.0,666.0,12438,361919
2330,9,2798,2005,1218.0,670.0,16023,457347
2119,8,1743,1976,51.0,529.0,20064,279000
988,6,1567,1977,1567.0,714.0,9819,196000
382,7,1370,1976,0.0,479.0,10400,152000
670,5,2634,1969,500.0,968.0,11643,200000
2760,8,1590,2005,1122.0,754.0,11645,294900
543,7,1450,2008,0.0,788.0,7328,224243
2835,6,1338,1915,0.0,528.0,7822,92000
1735,7,1456,2007,0.0,400.0,9018,179540
448,10,2392,2003,56.0,968.0,13472,386250
2287,4,992,1970,503.0,297.0,1533,106500
524,10,2007,2008,765.0,812.0,11003,310000
1767,7,2385,1998,0.0,600.0,10790,252000
2206,7,1646,1941,364.0,240.0,7128,164000
1740,7,1456,2007,0.0,400.0,7713,177594
199,5,1040,1936,276.0,624.0,6240,123900
2214,6,2624,1918,1128.0,864.0,22420,239000
323,5,1264,1965,42.0,528.0,15300,169000
2421,7,1557,2003,0.0,420.0,3196,234000
952,6,1287,1977,841.0,541.0,9360,173000
24,6,1004,1970,578.0,480.0,11241,149000
1139,7,1162,2007,0.0,483.0,9260,170000
518,7,1436,2008,0.0,529.0,7993,225000
1390,5,960,1963,634.0,300.0,9239,144900
277,5,1196,1968,1070.0,336.0,10044,144000
54,8,1269,2004,24.0,430.0,3182,192000
649,5,1031,1952,931.0,230.0,7626,145500
2600,4,720,1900,0.0,280.0,7008,86900
617,6,1505,1953,1024.0,505.0,12160,149500
2209,5,954,1938,0.0,240.0,6305,119750
2814,6,1500,2005,0.0,564.0,8846,173900
2542,5,1050,1961,915.0,368.0,10659,136500
2323,8,2687,1994,0.0,618.0,13108,270000
1393,6,1252,1960,429.0,564.0,13500,235000
490,7,1430,1999,0.0,400.0,7750,156000
542,5,1114,2003,836.0,576.0,12450,153000
973,6,1224,1999,883.0,402.0,4500,165000
1012,9,2504,2005,0.0,656.0,11198,325000
2218,5,1355,1941,533.0,528.0,6221,140000
2033,6,2294,1963,375.0,658.0,13200,202500
1071,9,1702,2008,1540.0,1052.0,8769,367294
1583,6,1509,1988,783.0,600.0,10200,175000
2858,7,1717,1915,216.0,642.0,9550,140000
2265,7,1240,1985,215.0,528.0,10331,174000
1088,7,1166,2005,655.0,400.0,9587,190000
698,5,1464,1910,0.0,0.0,9900,129000
1896,6,1652,1959,1386.0,510.0,22002,200000
628,6,2142,1968,448.0,509.0,13000,193500
1212,6,1092,1964,787.0,504.0,8250,145000
2864,7,1671,1929,526.0,451.0,8170,218000
2740,5,1488,1952,0.0,569.0,12048,135000
2560,5,1624,1952,40.0,240.0,10858,146500
1716,6,1362,2005,20.0,460.0,7577,194700
1130,7,1218,2007,902.0,462.0,7500,230348
201,6,1068,1923,960.0,288.0,6120,109500
2886,6,1625,1979,776.0,576.0,23580,242500
2328,7,1767,1987,495.0,504.0,5306,239000
2583,6,1050,1954,824.0,286.0,8092,156000
1206,4,907,1957,288.0,352.0,8593,109008
2242,2,845,1939,0.0,256.0,11067,68104
1105,8,2501,1995,0.0,751.0,11929,290000
121,5,1209,1966,1059.0,504.0,9900,159000
1223,4,906,1937,120.0,231.0,4882,87000
265,8,1601,2001,1358.0,670.0,11423,272000
2813,7,1336,2005,996.0,502.0,8772,198000
1294,4,1656,1940,0.0,440.0,7628,119164
2745,5,1124,1954,0.0,0.0,8335,93000
1094,7,1892,2000,544.0,431.0,8220,226750
651,3,1699,1900,440.0,420.0,10615,95000
198,6,1416,1948,300.0,312.0,6000,139900
131,3,1306,1940,0.0,0.0,5350,76500
1258,4,672,1940,0.0,308.0,5400,86900
1599,5,1160,1968,785.0,257.0,17979,152500
1508,4,930,1953,767.0,286.0,9520,99000
615,4,708,1940,280.0,0.0,5330,82500
1815,6,1575,1992,430.0,529.0,8012,179200
2712,5,1059,1966,773.0,286.0,9000,142500
2051,4,1005,1964,513.0,440.0,14299,115400
1863,7,1929,2001,738.0,650.0,7050,226000
2510,7,1200,2005,0.0,480.0,3180,144152
1069,8,2690,2003,0.0,795.0,16451,370000
336,5,833,1984,207.0,495.0,12887,149900
2417,6,1456,2006,0.0,429.0,15578,172785
1962,5,864,1950,398.0,720.0,7200,129000
372,6,1586,1979,0.0,435.0,17043,181000
2578,5,1370,1956,678.0,300.0,10000,148000
2824,6,914,2002,475.0,0.0,8050,117250
471,7,1555,2005,16.0,430.0,3182,192500
1544,6,1556,1980,81.0,452.0,1950,151000
2141,5,882,1972,138.0,461.0,7700,112500
2008,5,1167,1920,645.0,495.0,8731,144000
1075,9,1800,2007,1204.0,944.0,8232,370967
34,6,1456,1975,514.0,440.0,2280,149900
847,7,1660,2002,0.0,493.0,8935,195000
1629,7,1482,1992,0.0,392.0,9125,163900
2073,6,1522,1984,299.0,552.0,11075,182000
960,9,2036,2008,1758.0,780.0,13438,410000
955,5,1595,1991,55.0,672.0,11070,152000
2476,7,1686,2005,0.0,462.0,7800,184000
1590,7,1344,1997,1309.0,784.0,7060,206300
2913,5,1652,1970,149.0,928.0,11836,146500
149,4,1337,1956,0.0,263.0,8382,108000
2525,7,1920,1968,0.0,487.0,10192,170000
1470,6,848,2004,662.0,420.0,4426,145000
412,7,1055,1975,435.0,440.0,2280,123000
1399,6,1291,1996,1003.0,431.0,2887,173000
183,6,720,1928,0.0,484.0,8520,105900
974,4,988,1973,462.0,297.0,1596,91000
930,5,1523,1949,312.0,295.0,15600,158000
881,7,1728,2004,0.0,572.0,9313,190000
1180,8,1239,1995,560.0,477.0,11064,217500
1553,5,1955,1958,330.0,356.0,9000,165500
928,7,1564,1941,275.0,234.0,12000,174500
1512,4,1204,1954,0.0,312.0,7692,100000
3,6,1329,1958,923.0,312.0,14267,172000
2140,5,879,1975,330.0,440.0,9675,120000
553,4,841,1950,0.0,294.0,8400,82000
2594,6,1312,1947,0.0,649.0,7500,127000
1314,6,2058,1917,319.0,396.0,9600,129500
366,8,1360,1984,1036.0,565.0,5814,187500
1462,8,1786,2002,1538.0,715.0,14860,300000
2541,6,1993,1971,416.0,495.0,14803,190000
2088,4,1362,1920,0.0,280.0,7550,96000
527,7,1550,2006,812.0,438.0,8125,241000
1824,5,1696,1962,0.0,349.0,13673,143900
2918,4,1092,1970,408.0,286.0,1533,87550
49,9,1752,2005,456.0,576.0,7658,319900
2332,9,2473,2006,205.0,675.0,12292,356383
826,9,1800,2007,0.0,702.0,11923,239000
1108,7,2197,1993,228.0,783.0,10010,287500
2041,5,1382,1941,360.0,660.0,12358,128500
57,7,1733,2004,0.0,433.0,8577,185088
520,7,1402,2008,0.0,625.0,8640,229800
2305,5,887,1984,516.0,288.0,10447,124500
2533,5,1051,1968,758.0,504.0,9600,142000
2852,6,1510,1920,305.0,216.0,4899,149000
1198,5,1656,1973,0.0,506.0,9246,135000
1681,6,958,1976,120.0,440.0,4928,128000
1773,8,3228,1992,1231.0,546.0,12692,430000
1825,5,1040,1968,812.0,686.0,7476,145000
2208,5,1250,1910,0.0,552.0,5362,139000
1646,6,1868,1984,0.0,477.0,12090,178000
1060,10,2790,2005,1082.0,1150.0,12539,460000
748,6,2134,1916,0.0,441.0,11888,214500
2846,5,1928,1916,0.0,0.0,7082,160000
493,7,2060,1999,772.0,390.0,8755,214000
694,6,1378,1935,0.0,162.0,4080,128900
2283,4,1622,1961,1159.0,1356.0,32463,168000
1800,8,1880,2007,745.0,880.0,12217,310013
1632,8,1088,1986,0.0,461.0,3696,170000
2624,5,1040,1959,369.0,286.0,7560,133700
2197,6,1502,1923,0.0,180.0,10592,165000
1045,6,987,1971,358.0,264.0,1680,89500
2549,6,1095,1958,513.0,264.0,10382,140000
2829,7,1709,2004,0.0,380.0,2522,134000
2480,6,1731,1992,758.0,462.0,9370,248500
2724,4,960,1965,648.0,364.0,10246,145000
2352,6,1552,1975,550.0,434.0,11475,179900
1783,8,1795,2006,0.0,895.0,9986,147000
338,5,1274,1991,458.0,576.0,10475,136000
196,6,1196,1940,264.0,576.0,6000,128000
762,4,704,1946,0.0,220.0,4280,88750
151,5,972,1955,648.0,305.0,10895,122500
158,6,1458,1948,0.0,330.0,17503,97500
2572,6,1008,1963,0.0,430.0,9723,135000
1686,9,1828,2007,48.0,774.0,11694,314813
943,3,1526,1915,0.0,0.0,8470,85000
735,6,1176,1937,0.0,624.0,6000,134900
2741,5,1057,1955,0.0,288.0,10519,137000
1106,8,2113,1995,1696.0,839.0,10437,350000
2375,5,1387,1967,373.0,300.0,7514,145000
1701,9,2758,2005,0.0,814.0,13654,418000
2657,3,840,1920,0.0,250.0,5747,64000
907,5,1520,1932,182.0,281.0,4500,159434
1777,8,1542,2007,1220.0,852.0,11830,260261
164,5,1385,1952,507.0,720.0,8520,166000
1973,5,936,1962,734.0,288.0,6760,130000
2857,5,1288,1941,384.0,240.0,6191,112000
1208,5,1128,1963,776.0,525.0,8700,155000
319,8,1968,2009,0.0,680.0,12003,269500
2567,6,1246,1964,939.0,441.0,12700,172000
2222,7,1740,1940,410.0,240.0,13125,219500
2493,5,925,1963,181.0,484.0,8638,133500
1757,7,1430,2000,0.0,400.0,9967,170000
184,8,1566,1900,0.0,288.0,9600,150000
1248,5,950,1953,624.0,400.0,12774,130000
2574,5,1144,1959,748.0,796.0,8163,143000
1215,5,1114,1961,0.0,451.0,9900,140000
1614,7,2223,1973,1880.0,516.0,13651,244000
2039,5,1111,1920,0.0,288.0,7200,101000
2669,5,960,1958,0.0,624.0,9750,125000
1005,6,1633,1998,0.0,460.0,11184,183000
753,6,2229,1912,0.0,0.0,5520,104000
1275,6,984,1954,0.0,280.0,6390,112500
2350,6,1686,1980,625.0,612.0,10240,207500
2762,7,1614,2005,56.0,576.0,9316,225000
2788,5,864,1972,437.0,297.0,7200,119900
2384,7,1740,2006,0.0,874.0,12228,293000
2716,5,1721,1968,570.0,440.0,10335,180000
313,6,1034,1976,539.0,888.0,12328,169900
84,6,1902,1978,0.0,539.0,8930,112000
81,6,1097,1984,338.0,480.0,9672,152000
2389,9,2206,2005,0.0,670.0,13975,300000
280,6,1117,1976,422.0,672.0,7819,107000
190,4,2290,1885,0.0,560.0,11340,122500
2371,6,948,1972,276.0,264.0,1680,89000
213,6,919,1940,368.0,231.0,6001,95000
1864,6,1152,1968,0.0,412.0,11700,143450
37,9,2334,2009,0.0,751.0,12858,376162
146,5,1264,1960,697.0,461.0,9300,167500
809,5,1224,1979,1086.0,528.0,7018,153337
767,6,1369,1925,551.0,300.0,6629,103600
262,5,894,1976,182.0,308.0,10650,128200
101,6,1573,2000,378.0,440.0,2117,177500
48,8,2250,2002,578.0,756.0,13650,320000
489,6,1514,2000,683.0,394.0,8433,190000
2369,6,1218,1971,0.0,0.0,1680,91500
707,5,1387,1954,0.0,256.0,6000,93000
1556,4,1317,1920,0.0,250.0,8500,40000
2034,6,1355,1914,0.0,0.0,6882,127000
308,4,952,1896,0.0,330.0,8712,50138
2176,6,1113,1976,751.0,504.0,7917,148000
1549,5,778,1940,403.0,924.0,6900,120500
909,6,1489,1940,0.0,240.0,9900,139500
892,9,1698,2007,1234.0,768.0,13286,320000
2045,7,2267,1937,288.0,498.0,12888,219000
2927,5,902,1983,301.0,484.0,8885,131000
1732,6,1495,2006,0.0,440.0,8857,171925
998,5,1384,1996,450.0,404.0,14137,177900
2203,6,1436,1921,0.0,228.0,6720,141500
356,6,1636,1998,476.0,440.0,7500,191000
2475,6,1158,2004,941.0,576.0,13072,158000
2264,8,1646,2006,0.0,870.0,10656,248900
2201,5,1768,1937,569.0,240.0,7200,175000
2545,6,1565,1965,901.0,299.0,8800,185900
2660,7,1768,1914,390.0,320.0,10800,163000
2882,5,1396,1951,0.0,0.0,9000,115000
1379,6,1096,1978,528.0,484.0,13014,157500
491,7,2312,1999,913.0,658.0,15896,245000
1002,8,1337,1993,733.0,462.0,5395,180000
1848,7,1102,2004,239.0,480.0,5105,148800
1455,8,2031,2002,804.0,577.0,9473,237000
908,2,438,1920,290.0,246.0,8400,60000
1490,5,1033,1976,456.0,504.0,12102,165000
1465,7,2327,2003,0.0,596.0,10905,240000
1627,7,1187,1992,0.0,420.0,9556,160000
2849,6,1340,1945,780.0,440.0,6430,128000
1501,4,1152,1955,0.0,0.0,6040,82000
626,6,1567,1966,1387.0,542.0,14695,256000
722,7,1482,1920,624.0,324.0,9000,143000
2260,7,1689,2006,0.0,433.0,8368,231713
1639,5,1424,1969,1047.0,828.0,41600,155000
1603,5,816,1983,534.0,264.0,6490,128500
1520,7,1424,1921,0.0,312.0,7290,168000
1665,7,1479,1972,626.0,484.0,7472,184000
2635,5,1025,1962,953.0,0.0,7000,124000
581,6,1442,1970,0.0,615.0,11717,185000
2435,8,1936,2000,0.0,504.0,11194,230500
2799,7,1939,1998,796.0,555.0,11250,227000
883,6,1476,2005,193.0,540.0,8633,173500
2537,5,898,1968,744.0,326.0,8400,140000
1120,8,1460,2006,666.0,480.0,10037,247000
774,6,1034,1978,456.0,504.0,8014,149900
1447,5,1174,1978,781.0,528.0,12250,158000
104,7,1080,2003,244.0,496.0,2403,147110
2694,6,1376,1937,0.0,198.0,8600,119500
920,5,1567,1940,728.0,440.0,13680,205000
1951,5,1534,1895,0.0,0.0,10800,148000
9,8,1616,1995,1180.0,608.0,5389,236500
2848,5,1551,1938,930.0,240.0,10890,137000
614,5,960,1955,100.0,330.0,9768,122000
1736,7,1302,2007,0.0,436.0,8993,176485
2686,5,816,1925,0.0,210.0,11672,109000
2257,7,1502,1998,1102.0,286.0,9763,330000
1284,6,1133,2008,96.0,308.0,9836,143000
1765,9,3078,1998,672.0,806.0,10557,410000
1811,6,1721,1994,814.0,471.0,8462,201000
2603,4,1760,1910,0.0,648.0,10818,80000
2220,6,2320,1945,774.0,180.0,7259,259500
2273,7,2486,2003,766.0,452.0,11800,279900
163,5,1246,1959,340.0,305.0,7500,154000
2116,6,2144,1958,697.0,389.0,159000,277000
2734,5,1150,1942,230.0,215.0,6488,128000
426,8,1600,2007,0.0,890.0,14230,256300
2216,4,1755,1930,189.0,231.0,7810,188000
2900,8,1800,2002,1274.0,765.0,14331,312500
97,7,1200,2004,0.0,480.0,3182,151000
1680,5,1365,1971,471.0,440.0,1920,122500
1133,6,1696,2003,80.0,542.0,10110,188000
2761,7,1809,2005,0.0,638.0,10984,209700
1642,8,2234,2006,1558.0,724.0,14082,441929
1141,6,1680,1993,602.0,474.0,8480,163000
2118,6,2087,1966,568.0,444.0,12205,187500
870,8,1513,1999,1246.0,521.0,15750,220000
1875,5,1107,1967,474.0,308.0,8050,127000
155,5,827,1955,0.0,392.0,7200,107500
1318,6,1484,1914,0.0,0.0,6300,128000
1285,5,764,1925,0.0,504.0,5232,73000
2400,9,1792,2003,1567.0,874.0,11846,374000
1068,8,2649,2001,1075.0,746.0,16900,421250
361,6,1593,1992,0.0,389.0,9636,178000
1493,4,1181,1972,920.0,588.0,10012,137500
1110,8,1987,1994,1314.0,691.0,14303,301500
911,6,1242,1935,0.0,180.0,5707,105000
2535,6,976,1968,760.0,504.0,9360,157500
2030,5,1214,1901,0.0,216.0,5680,117000
2634,5,864,1962,468.0,336.0,7000,105000
1530,6,1639,1936,0.0,240.0,10480,115000
435,9,1736,2008,0.0,834.0,11578,360000
812,5,1535,1979,0.0,400.0,7018,118858
1202,6,1632,1966,400.0,484.0,9130,173000
666,3,725,1890,0.0,320.0,10800,78500
1751,7,1720,2004,0.0,440.0,8244,183500
705,4,936,1953,0.0,576.0,6000,93000
1744,8,1589,2003,1084.0,630.0,3621,226500
357,6,1571,1993,0.0,380.0,7837,178000
2133,7,1479,2003,1013.0,558.0,10665,226000
989,5,1632,1969,496.0,898.0,10457,173000
562,5,864,1965,553.0,360.0,8281,62383
1054,9,2713,2008,1330.0,858.0,14948,446261
2850,7,1479,1926,424.0,312.0,7000,160000
1082,7,1576,2004,1087.0,668.0,3940,219990
